year,month,region,number_of_visits_thousands
2021,Mar *,europe,37.82768307623388
2021,Mar *,other_countries,15.56416649665456
2021,Apr *,all_visit,64.94687032185163
2021,Apr *,north_america,8.577040284828692
2021,Apr *,europe,42.84311457558984
2021,Apr *,other_countries,13.526715461433101
2021,May *,all_visit,85.55297515202537
2021,May *,north_america,13.810140960155955
2021,May *,europe,56.684609859423354
2021,May *,other_countries,15.058224332446066
2021,Jun *,all_visit,126.06662352612395
2021,Jun *,north_america,22.618808755015355
2021,Jun *,europe,83.05531756498782
2021,Jun *,other_countries,20.39249720612078
2021,Jul,all_visit,330.74062446729357
2021,Jul,north_america,72.92245364354402
2021,Jul,europe,188.7262121412569
2021,Jul,other_countries,69.09195868249263
2021,Aug,all_visit,759.0007464332175
2021,Aug,north_america,100.61792552593131
2021,Aug,europe,583.6408917383864
2021,Aug,other_countries,74.74192916889979
2021,Sep,all_visit,949.2586290994889
2021,Sep,north_america,115.45962083052466
2021,Sep,europe,755.6328961203567
2021,Sep,other_countries,78.16611214860758
2021,Oct,all_visit,1103.2165042894128
2021,Oct,north_america,116.46741912453324
2021,Oct,europe,871.0092525330771
2021,Oct,other_countries,115.73983263180251
2021,Nov,all_visit,1610.3704920076377
2021,Nov,north_america,184.51947158531314
2021,Nov,europe,1257.9963904880997
2021,Nov,other_countries,167.854629934225
2021,Dec,all_visit,1039.4130037029495
2021,Dec,north_america,120.01310929015371
2021,Dec,europe,774.9943569788234
2021,Dec,other_countries,144.4055374339725
2022,Jan,all_visit,838.6211608785198
2022,Jan,north_america,86.79047617666423
2022,Jan,europe,584.0264930286833
2022,Jan,other_countries,167.80419167317237
2022,Feb,all_visit,1044.8384435104642
2022,Feb,north_america,99.14501125733737
2022,Feb,europe,823.2155049171728
2022,Feb,other_countries,122.47792733595415
2022,Mar,all_visit,1859.9103998611015
2022,Mar,north_america,229.2433509011598
2022,Mar,europe,1413.2585150894581
2022,Mar,other_countries,217.40853387048347
2022,Apr,all_visit,2251.9260648607965
2022,Apr,north_america,337.6490958172903
2022,Apr,europe,1634.2685678083835
2022,Apr,other_countries,280.00840123512256
2022,May,all_visit,2728.0910272231476
2022,May,north_america,509.2325030125113
2022,May,europe,1827.6593972635185
2022,May,other_countries,391.1991269471175
2022,June,all_visit,2977.356035171585
2022,June,north_america,740.6041227497516
2022,June,europe,1727.405293846744
2022,June,other_countries,509.3466185750895
2022,July,all_visit,3444.971362151443
2022,July,north_america,793.0630549650557
2022,July,europe,2052.6662092507386
2022,July,other_countries,599.2420979356483
2022,Aug,all_visit,3544.7468681808855
2022,Aug,north_america,716.1874028260517
2022,Aug,europe,2202.2995867913337
2022,Aug,other_countries,626.2598785635
2022,Sep,all_visit,2956.3535058535845
2022,Sep,north_america,647.5078419645498
2022,Sep,europe,1829.6083527530109
2022,Sep,other_countries,479.23731113602395
2022,Oct,all_visit,3321.632520727046
2022,Oct,north_america,560.1640116809804
2022,Oct,europe,2268.543535731485
2022,Oct,other_countries,492.9249733145809
2022,Nov,all_visit,3238.353143614572
2022,Nov,north_america,369.6606637526921
2022,Nov,europe,2482.5659978683725
2022,Nov,other_countries,386.12648199350775
2022,Dec†,all_visit,3037.6384641037994
2022,Dec†,north_america,394.1856765833339
2022,Dec†,europe,2134.6228027631455
2022,Dec†,other_countries,508.82998475732
