length_of_stay,region,year,number_of_visits,spending_million
4-13 nights,Total World,2020,NA,NA
4-13 nights,Total World,2021,2614.690481825162,1949.1895203779236
4-13 nights,Total World,2022,14473.372343013556,13178.301761214072
14-27 nights,North America,2018,584.1188066766694,693.89959141359
14-27 nights,North America,2019,527.8926544804511,786.0695082432702
14-27 nights,North America,2020,NA,NA
14-27 nights,North America,2021,161.18933947935196,214.69728196301705
14-27 nights,North America,2022,699.9431567992089,1269.1763645399308
14-27 nights,Europe,2018,1367.8274370157847,1011.6305536627144
14-27 nights,Europe,2019,1317.7309958356248,1186.487841702727
14-27 nights,Europe,2020,NA,NA
14-27 nights,Europe,2021,494.8487869931118,437.8933261935268
14-27 nights,Europe,2022,1247.6332603999224,1166.6685214973688
14-27 nights,- of which EU,2018,1217.3333639414714,855.3639652350955
14-27 nights,- of which EU,2019,1161.4572938765054,1019.0498992334003
14-27 nights,- of which EU,2020,NA,NA
14-27 nights,- of which EU,2021,440.4201322120541,372.8477439896108
14-27 nights,- of which EU,2022,1098.09057429407,974.1470611589713
14-27 nights,- of which EU15,2018,855.5415118275207,653.809971122525
14-27 nights,- of which EU15,2019,876.5101823961411,813.1073229687606
14-27 nights,- of which EU15,2020,NA,NA
14-27 nights,- of which EU15,2021,356.48123575477115,314.773728794433
14-27 nights,- of which EU15,2022,882.2409758584848,817.2846600168897
14-27 nights,- of which EU Oth,2018,361.7918521139521,201.55399411257056
14-27 nights,- of which EU Oth,2019,284.94711148036663,205.94257626463892
14-27 nights,- of which EU Oth,2020,NA,NA
14-27 nights,- of which EU Oth,2021,83.93889645728312,58.07401519517783
14-27 nights,- of which EU Oth,2022,215.84959843558659,156.86240114208107
14-27 nights,Other Countries,2018,1409.199246679432,2346.435469405255
14-27 nights,Other Countries,2019,1343.049931847332,2381.8627119575244
14-27 nights,Other Countries,2020,NA,NA
14-27 nights,Other Countries,2021,202.4844161134455,470.2873971968265
14-27 nights,Other Countries,2022,1037.3193583779862,2011.4956480601854
14-27 nights,Total World,2018,3361.145490371893,4051.9656144815635
14-27 nights,Total World,2019,3188.6735821634,4354.420061903517
14-27 nights,Total World,2020,NA,NA
14-27 nights,Total World,2021,858.5225425859082,1122.8780053533696
14-27 nights,Total World,2022,2984.895775577122,4447.340534097486
29 nights or more,North America,2018,144.11496329241663,440.369210038357
29 nights or more,North America,2019,92.62804821969907,205.7712266542637
29 nights or more,North America,2020,NA,NA
29 nights or more,North America,2021,98.48807123258598,209.89924194738887
29 nights or more,North America,2022,215.02775113451173,557.8977321392055
30 nights or more,Europe,2018,451.2346872946446,870.5091862032198
30 nights or more,Europe,2019,464.3343494806268,998.6400910352135
30 nights or more,Europe,2020,NA,NA
30 nights or more,Europe,2021,375.1931972433924,710.7398652626433
30 nights or more,Europe,2022,454.4340170671288,1087.2679781450815
31 nights or more,- of which EU,2018,414.96335643016795,770.3164571777259
31 nights or more,- of which EU,2019,395.44019968659273,870.1229392440563
31 nights or more,- of which EU,2020,NA,NA
31 nights or more,- of which EU,2021,333.88907559673834,608.570980056443
31 nights or more,- of which EU,2022,381.8882828519059,866.2647079532917
32 nights or more,- of which EU15,2018,226.0710277660304,387.21243012183226
32 nights or more,- of which EU15,2019,232.1483560278349,395.8764611868207
32 nights or more,- of which EU15,2020,NA,NA
32 nights or more,- of which EU15,2021,236.1584081265071,431.1789107478224
32 nights or more,- of which EU15,2022,276.59266763214924,581.8308969297717
33 nights or more,- of which EU Oth,2018,188.8923286641375,383.10402705589394
33 nights or more,- of which EU Oth,2019,163.29184365875795,474.24647805723635
33 nights or more,- of which EU Oth,2020,NA,NA
33 nights or more,- of which EU Oth,2021,97.73066747023175,177.39206930862065
33 nights or more,- of which EU Oth,2022,105.29561521975708,284.4338110235199
34 nights or more,Other Countries,2018,634.1737940745085,1845.6064073003788
34 nights or more,Other Countries,2019,660.0557959725287,1802.270726159333
34 nights or more,Other Countries,2020,NA,NA
34 nights or more,Other Countries,2021,210.88725549761605,822.3563751470869
34 nights or more,Other Countries,2022,685.0616703160811,1759.3434350689276
35 nights or more,Total World,2018,1229.5234446615705,3156.484803541955
