length_of_stay,purpose,year,number_of_visits,spending_million
All visits,Visiting friends or relatives,2018,12328.129712838758,6232.790148808152
All visits,Visiting friends or relatives,2019,12427.233080731703,6407.599438620918
All visits,Visiting friends or relatives,2020,3446.841067127679,NA
All visits,Visiting friends or relatives,2021,3456.072702929711,2394.8424813589672
All visits,Visiting friends or relatives,2022,11780.829407109042,7557.616368728751
All visits,Miscellanous,2018,2829.234446322417,2906.783866017141
All visits,Miscellanous,2019,2855.2862584709987,2835.6479034597387
All visits,Miscellanous,2020,823.1878218069038,NA
All visits,Miscellanous,2021,529.9710705924814,1020.8391461079959
All visits,Miscellanous,2022,2222.673141218245,2351.3897036077046
All visits,All visits,2018,40283.20262875296,26507.81845256107
All visits,All visits,2019,40857.44799649075,28448.252612299155
All visits,All visits,2020,11100.507123819907,6209.817009855798
All visits,All visits,2021,6383.823252484592,5646.299792566251
All visits,All visits,2022,31244.438996137244,26496.640840815442
